A,B,C,label
-1113.924581,952.1054043,-276.0458809,-1294.288918
-2229.480228,1111.488568,-93.4541072,-27146.87008
2717.257713,53.43123706,-179.2285909,64743.00172
-1638.783965,-632.9194474,-106.1702373,-7349.870788
5173.934338,-721.8955771,-75.07484001,1651328.146
78.647106,53.55037471,-140.9813468,-0.007752981954
-1448.431501,1075.497906,-101.8917676,-3844.968981
3878.144241,-627.0731134,-260.0577115,370091.8222
-89.03066685,-100.6763909,-259.8368616,-0.7145428006
2251.620515,489.5580341,-223.1151088,26367.08304
3275.961673,432.0504783,-125.8189506,177158.8025
-1829.322226,153.8436871,-112.9478381,-9927.207562
4177.022338,976.6120091,-180.9988213,624605.1442
-1738.618934,-202.3592371,-265.6609267,-9134.990098
-5120.268757,-1415.370823,-197.8926058,-1954778.045
-3655.257883,-240.6096064,-140.773859,-324124.5407
1513.026313,378.9879374,-176.6807203,3598.44447
1047.802146,-221.3887839,-100.4501305,516.727652
-1969.286949,-228.547969,-169.7584216,-15836.88249
1441.369566,314.1672201,-137.8728078,2847.191328
4429.707052,-218.3374358,-163.4937417,754918.7868
2035.119872,2166.149516,-277.260511,40247.27971
514.6085204,-174.3763099,-148.3320254,12.19202075
3317.392001,1380.438151,-27.03097215,233776.1863
4008.253526,615.375005,-69.00756949,502500.4154
1274.958292,1362.925712,-88.70063588,4247.03732
-2400.870041,526.4686192,-108.5761851,-37320.95793
1722.747996,-1034.516972,-184.607825,7057.832319
-6349.799838,558.8602947,-116.6039841,-4790098.214
592.974955,105.4980758,-354.3328262,15.13975538
-4057.501733,1850.048238,-249.3543483,-540506.2358
-3189.483593,414.1477461,-101.7129917,-153973.6619
-1360.924686,-450.6407004,-171.7775756,-2996.3916
4050.223154,-631.7187886,-105.8831069,479033.8708
4121.609289,-204.9275876,-194.2186662,520854.1111
-2137.232753,-848.8335124,-54.14011662,-26633.87714
-1352.666358,685.7704174,-141.3920238,-2349.60529
-4035.694878,-647.8210168,-266.080979,-572696.7302
-2306.07411,908.80959,-199.6700809,-32097.15347
3001.887418,-153.6465906,-228.5551628,103512.3974
-2279.80189,618.5620971,-59.68099363,-28321.43178
6928.406531,1131.693495,-203.7541813,7683099.598
2906.152759,-265.2439,-157.1413831,89388.75049
-763.2595684,877.4454014,-240.6213791,-303.7407872
3159.293724,-351.2138163,-188.9076554,134504.753
2126.077972,45.20718372,-110.507737,19285.11991
